사이클 데이터 보고서
  * 시험 데이타 파일 : D:\JSM\2.Data\2022\1014\1014 NCM811 UD no_1 140-3 _cyc\20221014\1014 JSM 140-3_088.wrd
  * 테스트 기간 : 2022-10-14 15:24:37~2022-10-20 21:18:16
  * 데이터 개수 : 539643
  * 시험자 성명 : 
  * 상품 번호 : 
  * 메모 : 
  * 조건 파일명 : D:\JSM\1.Condition\paper1\1014 NCM811 UD no.1 140-3 .cyc
  * 단계 개수 : 56

Index,Cycle_No.,Chg.Q(Ah),Dischg.Q(Ah),Acc.Q(Ah),Chg.E(Wh),Dischg.E(Wh),Acc.E(Wh),C_Eff.(%),E_Eff.(%),Max.V(V),Chg.LastV(V),Dischg.LastV(V),Chg.Q_s(Ah/g),Dischg.Q_s(Ah/g)
1,1,2.61683E-003,2.34168E-003,2.75154E-004,1.03828E-002,8.97604E-003,1.40678E-003,89.485,86.451,4.30108E+000,4.30061E+000,2.99999E+000,2.21109E-001,1.97860E-001
2,2,2.35953E-003,2.35379E-003,2.80891E-004,9.18686E-003,9.03911E-003,1.55453E-003,99.757,98.392,4.30108E+000,4.30061E+000,2.99999E+000,1.99369E-001,1.98884E-001
3,3,2.36241E-003,2.35458E-003,2.88719E-004,9.18979E-003,9.04539E-003,1.69893E-003,99.669,98.429,4.30108E+000,4.30077E+000,2.99999E+000,1.99612E-001,1.98951E-001
4,4,2.34875E-003,2.27369E-003,3.63779E-004,9.15020E-003,8.74158E-003,2.10755E-003,96.804,95.534,4.30092E+000,4.30045E+000,2.99999E+000,1.98458E-001,1.92116E-001
5,5,2.28634E-003,2.26961E-003,3.80510E-004,8.92235E-003,8.72401E-003,2.30589E-003,99.268,97.777,4.30092E+000,4.30061E+000,2.99999E+000,1.93185E-001,1.91771E-001
6,6,2.28129E-003,2.26187E-003,3.99933E-004,8.90495E-003,8.69023E-003,2.52062E-003,99.149,97.589,4.30092E+000,4.30077E+000,2.99999E+000,1.92758E-001,1.91117E-001
7,7,2.25742E-003,2.14678E-003,5.10573E-004,8.85689E-003,8.23779E-003,3.13971E-003,95.099,93.010,4.30108E+000,4.30061E+000,2.99983E+000,1.90741E-001,1.81393E-001
8,8,2.15677E-003,2.14081E-003,5.26531E-004,8.48027E-003,8.20891E-003,3.41107E-003,99.260,96.800,4.30092E+000,4.30077E+000,2.99983E+000,1.82236E-001,1.80888E-001
9,9,2.15450E-003,2.14158E-003,5.39454E-004,8.46962E-003,8.21323E-003,3.66746E-003,99.400,96.973,4.30092E+000,4.30061E+000,2.99983E+000,1.82045E-001,1.80953E-001
10,10,2.13389E-003,2.03379E-003,6.39555E-004,8.43922E-003,7.76865E-003,4.33804E-003,95.309,92.054,4.30092E+000,4.30045E+000,2.99999E+000,1.80304E-001,1.71845E-001
11,11,2.04806E-003,2.03554E-003,6.52078E-004,8.12101E-003,7.76648E-003,4.69257E-003,99.389,95.634,4.30092E+000,4.30061E+000,2.99983E+000,1.73051E-001,1.71993E-001
12,12,2.05220E-003,2.03664E-003,6.67633E-004,8.13924E-003,7.77686E-003,5.05495E-003,99.242,95.548,4.30108E+000,4.30077E+000,2.99967E+000,1.73401E-001,1.72086E-001
13,13,1.99063E-003,1.80854E-003,8.49720E-004,8.04307E-003,6.76823E-003,6.32979E-003,90.853,84.150,4.30092E+000,4.30077E+000,2.99967E+000,1.68198E-001,1.52813E-001
14,14,1.82265E-003,1.79232E-003,8.80049E-004,7.36323E-003,6.69375E-003,6.99927E-003,98.336,90.908,4.30108E+000,4.30061E+000,2.99983E+000,1.54005E-001,1.51442E-001
15,15,1.79884E-003,1.77600E-003,9.02890E-004,7.29842E-003,6.63174E-003,7.66595E-003,98.730,90.865,4.30108E+000,4.30061E+000,2.99999E+000,1.51994E-001,1.50064E-001
16,16,1.76531E-003,1.61166E-003,1.05654E-003,7.27753E-003,5.94833E-003,8.99514E-003,91.296,81.736,4.30108E+000,4.30092E+000,2.99951E+000,1.49160E-001,1.36177E-001
17,17,1.61437E-003,1.56160E-003,1.10932E-003,6.67374E-003,5.70189E-003,9.96699E-003,96.731,85.438,4.30092E+000,4.30061E+000,2.99999E+000,1.36407E-001,1.31947E-001
18,18,1.56546E-003,1.53540E-003,1.13938E-003,6.48946E-003,5.58823E-003,1.08682E-002,98.080,86.113,4.30092E+000,4.30061E+000,2.99936E+000,1.32274E-001,1.29734E-001
19,19,1.48156E-003,1.46003E-003,1.16090E-003,6.34397E-003,5.30990E-003,1.19023E-002,98.547,83.700,4.30092E+000,4.30077E+000,2.99920E+000,1.25185E-001,1.23366E-001
20,20,1.47031E-003,1.51997E-003,1.11124E-003,6.29912E-003,5.55191E-003,1.26495E-002,103.377,88.138,4.30092E+000,4.30061E+000,2.99967E+000,1.24234E-001,1.28430E-001
21,21,1.51618E-003,1.40903E-003,1.21840E-003,6.45820E-003,5.11678E-003,1.39909E-002,92.932,79.229,4.30108E+000,4.30077E+000,2.99967E+000,1.28110E-001,1.19056E-001
22,22,1.34934E-003,1.32741E-003,1.24033E-003,5.80299E-003,4.79767E-003,1.49962E-002,98.375,82.676,4.30092E+000,4.30077E+000,2.99983E+000,1.14012E-001,1.12160E-001
23,23,1.40142E-003,1.30639E-003,1.33535E-003,6.02693E-003,4.71189E-003,1.63113E-002,93.220,78.181,4.30219E+000,4.30061E+000,2.99983E+000,1.18413E-001,1.10384E-001
24,24,1.33403E-003,1.29615E-003,1.37324E-003,5.73719E-003,4.65974E-003,1.73887E-002,97.160,81.220,4.30108E+000,4.30061E+000,2.99983E+000,1.12719E-001,1.09518E-001
